Scraped At,Section,Subcategory,Product Name,Price,Rating,Image URL,Product URL
2026-01-25 06:59:25,Accessories,cheapest item under 100,LOSOFY CLEAN AntiRoachGel-(20g) Cockroach Paste,Rs. 85,3.9,https://g.sdlcdn.com/imgs/k/2/7/LOSOFY-CLEAN-AntiRoachGel-20g-Cockroach-SDL091927699-1-2c596.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/losofy-clean-antiroachgel20g-cockroach-paste/622059628098#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,100% Natural Profesional Serum For Nail Strong Supple and Shaped Nail Care Serum - Pack Of 1,Rs. 80,4.2,https://g.sdlcdn.com/imgs/k/x/v/100-Natural-Profesional-Serum-For-SDL284220983-1-997c6.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/100-natural-profesional-serum-for/637579416846#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,"Sotftsens Baby TEAR FREE Baby Wash, 200ml with natural milk cream & shea butter",Rs. 99,4.5,https://g.sdlcdn.com/imgs/h/s/p/Softsens-Natural-Baby-Body-Wash-SDL567181916-1-22470.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/softsens-natural-baby-body-wash/624567774076#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,"Joy Ultra Look Makeup Foundation With SPF 15 Flawless Coverage, 30ml",Rs. 85,4.3,https://g.sdlcdn.com/imgs/k/0/d/X-men-Matte-Liquid-For-SDL738609056-1-e6d57.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/xmen-matte-liquid-for-all/675005018071#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,Gusto Foods Instant Schezwan Gravy 250 gm,Rs. 82,4.5,https://g.sdlcdn.com/imgs/k/r/g/Gusto-Foods-Instant-Schezwan-Gravy-SDL542593797-1-7c0f5.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/gusto-foods-instant-schezwan-gravy/644845625808#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,Jovees Herbal Sindoor Red Rich Color Quick Drying & Long Lasting Smudge-Proof 5ml (Pack of 1),Rs. 91,4.2,https://g.sdlcdn.com/imgs/k/2/5/Jovees-Herbal-Red-Sindoor-Liquid-SDL429667282-1-7b95b.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/jovees-herbal-red-sindoor-liquid/637689285939#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,Dahlia pachyderms Winter Flower Seeds with Coco Peat Seed Starter,Rs. 95,4.0,https://g.sdlcdn.com/imgs/j/h/6/Dahlia-pachyderms-Winter-Flower-Seeds-SDL567792241-1-461c8.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/dahlia-pachyderms-winter-flower-seeds/681202618131#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,PrettyKrafts Single Cotton Brown Cylinder Cover,Rs. 78,3.9,https://g.sdlcdn.com/imgs/k/y/t/PrettyKrafts-Single-Cotton-Brown-Cylinder-SDL205551706-1-02db2.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/prettykrafts-single-cotton-brown-cylinder/632115475699#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,ENRRICH ONE PROTIONE DB CHOCOLATE FLAVOUR PROTEIN POWDER 1 gm,Rs. 99,,,https://www.snapdeal.com/product/enrrich-one-protione-db-chocolate/639814980801#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:26,Accessories,cheapest item under 100,"Dwarf Fruit Seeds Combo Orange,Apple, Grape, Pomegranate, Guava 5 seeds Each + 150gm Growing soil + Instruction Manual Inside Package",Rs. 94,3.6,,https://www.snapdeal.com/product/dwarf-fruit-seeds-combo-orangeapple/686679475024#bcrumbSearch:cheapest%20item%20under%20100
2026-01-25 06:59:37,Accessories,low price,"Lawn Grass Seeds, Soft and Natural Excellent Rich Lawn Greens Grass Seeds,( pack of 500 seeds ) WITH USER MANUAL FOR HOME AND GARDENING USE LOW PRICE AT SNAPDEAL",Rs. 140,3.5,https://g.sdlcdn.com/imgs/k/c/8/Lawn-Grass-Seeds-Soft-and-SDL201016121-1-27873.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/lawn-grass-seeds-soft-and/622553108818#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,ANTHURIUM RED COLOR ORNAMENTAL FLOWER AIRPURIFYING INDOOR OUTDOOR PLANT 20 SEEDS PACK WITH FREE COCOPEAT POTTING SOIL AND USER MANUAL COMBO PACK FOR HOME AND TERRACE GARDENING USE LOW PRICE ON SNAPDEAL,Rs. 104,3.5,https://g.sdlcdn.com/imgs/k/d/k/ANTHURIUM-RED-COLOR-ORNAMENTAL-FLOWER-SDL807595522-1-f8906.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anthurium-red-color-ornamental-flower/655519833427#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,LEMON GRASS HERB PLANT 50 SEEDS PACK WITH USER MANUAL FOR INDOOR OUTDOOR HOME KITCHEN GARDENING USE LOW PRICE ONLINE ON SNAPDEAL,Rs. 119,4.0,https://g.sdlcdn.com/imgs/k/l/h/LEMON-GRASS-HERB-PLANT-50-SDL908751945-1-44433.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/lemon-grass-herb-plant-50/635887639143#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,AIR PURIFYING TREE CHINA PALM 20+ SEEDS PACK WITH FREE POTTING SOIL AND USER MANUAL FOR INDOOR AND OUTDOOR HOME AND TERRACE GARDENING USE LOW PRICE AT SNAPDEAL ONLINE SHOP,Rs. 118,4.0,https://g.sdlcdn.com/imgs/k/e/b/AIR-PURIFYING-TREE-CHINA-PALM-SDL900520661-1-c6ef2.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/air-purifying-tree-china-palm/621881820030#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,ARECA PALM ORNAMENTAL TREE 20+ SEEDS PACK WITH FREE POTTING SOIL AND USER MANUAL FOR INDOOR AND OUTDOOR HOME AND TERRACE GARDENING USE LOW PRICE AT SNAPDEAL ONLINE SHOP,Rs. 146,3.9,https://g.sdlcdn.com/imgs/k/l/h/ARECA-PALM-ORNAMENTAL-TREE-20-SDL904122616-1-7cb47.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/areca-palm-ornamental-tree-20/631666376013#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,Jewar mandi chain gold plated designer long size latest fashion low price for daily use,Rs. 239,3.5,https://g.sdlcdn.com/imgs/j/t/h/Jewar-mandi-chain-gold-plated-SDL968240345-1-43d2d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/jewar-mandi-chain-gold-plated/627474315796#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,Hilary Rhoda Multi Matte Pressed Powder Eye Shadow 100,Rs. 113,4.6,https://g.sdlcdn.com/imgs/l/e/b/Hilary-Rhoda-Multi-Matte-Pressed-SDL402207125-1-39756.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/hilary-rhoda-rust-matte-pressed/5764608172282191211#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,CHARTBUSTERS MAGIC White 1000 watt Dry Iron,Rs. 402,4.0,https://g.sdlcdn.com/imgs/k/0/u/CHARTBUSTERS-MAGIC-White-1000-watt-SDL302799129-1-47ce9.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/chartbusters-magic-white-1000-watt/621148293753#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,Imported Hosta Flower seeds for Home and Garden Pack of 5 seeds (MIXEDCOLOR),Rs. 145,4.1,,https://www.snapdeal.com/product/imported-hosta-flower-seeds-for/622934433422#bcrumbSearch:low%20price
2026-01-25 06:59:37,Accessories,low price,Spark World Copper 2000W Copper Immersion Rod,Rs. 309,4.4,,https://www.snapdeal.com/product/spark-world-copper-2000w-copper/671685801940#bcrumbSearch:low%20price
2026-01-25 06:59:44,Accessories,Kitchenware,HURPRISE.COM White Stainless Steel Storage Racks ( Pack of 1 ),Rs. 275,4.0,https://g.sdlcdn.com/imgs/l/e/k/HURPRISE-COM-White-Stainless-Steel-SDL052333633-1-8fc23.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/hurprisecom-white-stainless-steel-storage/664564060148#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:44,Accessories,Kitchenware,Ezybe Self Adhesive Kichen Shelf Light Blue Plastic Storage Racks (Pack of 2),Rs. 167,4.0,https://g.sdlcdn.com/imgs/k/n/1/Ezybe-Light-Blue-Plastic-Storage-SDL913297927-1-af867.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitchen-shelf-storage-rack-self/651274312796#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:45,Accessories,Kitchenware,Sonal Brown Plastic Storage Racks ( Pack of 1 ),Rs. 488,3.9,https://g.sdlcdn.com/imgs/k/6/i/Sonal-Brown-Plastic-Storage-Racks-SDL681384776-1-20e82.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sonal-brown-plastic-storage-racks/627191043139#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:45,Accessories,Kitchenware,Anshri White Plastic Storage Racks ( Pack of 4 ),Rs. 244,4.1,https://g.sdlcdn.com/imgs/k/4/z/Anshri-White-Plastic-Storage-Racks-SDL158288851-1-82b79.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anshri-white-plastic-storage-racks/636623008371#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:45,Accessories,Kitchenware,KITSMART Black Steel Storage Racks ( Pack of 1 ),Rs. 413,3.7,https://g.sdlcdn.com/imgs/k/8/p/KITSMART-Black-Steel-Storage-Racks-SDL596142542-1-99373.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitsmart-black-steel-storage-racks/642817018755#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:45,Accessories,Kitchenware,Anshri White Plastic Kitchen Dispenser ( Pack of 2 ),Rs. 163,4.4,https://g.sdlcdn.com/imgs/k/2/7/Anshri-White-Plastic-Kitchen-Dispenser-SDL199517793-1-9251b.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anshri-white-plastic-kitchen-dispenser/654906296466#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:45,Accessories,Kitchenware,SPIX Black Stainless Steel Storage Racks ( Pack of 1 ),Rs. 270,3.6,https://g.sdlcdn.com/imgs/l/b/h/SPIX-Black-Stainless-Steel-Storage-SDL364462288-1-c9872.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/spix-black-stainless-steel-storage/620243521414#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:45,Accessories,Kitchenware,BECKONMART Multicolor Plastic Wall mount Stand ( Pack of 1 ),Rs. 157,,https://g.sdlcdn.com/imgs/l/d/n/BECKONMART-Multicolor-Plastic-Wall-mount-SDL395084949-1-5240d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/beckonmart-multicolor-plastic-wall-mount/676017559960#bcrumbSearch:accessories|bcrumbLabelId:5
2026-01-25 06:59:45,Accessories,Kitchenware,SPIX Black Stainless Steel Storage Racks ( Pack of 1 ),Rs. 254,4.6,,https://www.snapdeal.com/product/spix-black-stainless-steel-storage/628578026696#bcrumbSearch:accessories|bcrumbLabelId:5
